순번,위도,경도,,
281,35.16901291,129.127683,"[35.16901291, 129.127683]","[35.16901291, 129.127683]"
282,35.16880543,129.1279047,"[35.16880543, 129.1279047]","[35.16880543, 129.1279047]"
283,35.17365936,129.1241862,"[35.17365936, 129.1241862]","[35.17365936, 129.1241862]"
284,35.17380501,129.1238642,"[35.17380501, 129.1238642]","[35.17380501, 129.1238642]"
285,35.17361794,129.1240586,"[35.17361794, 129.1240586]","[35.17361794, 129.1240586]"
286,35.17373683,129.1241017,"[35.17373683, 129.1241017]","[35.17373683, 129.1241017]"
287,35.17188901,129.1302165,"[35.17188901, 129.1302165]","[35.17188901, 129.1302165]"
288,35.17161356,129.1301382,"[35.17161356, 129.1301382]","[35.17161356, 129.1301382]"
289,35.17159998,129.1304445,"[35.17159998, 129.1304445]","[35.17159998, 129.1304445]"
290,35.17183381,129.1305735,"[35.17183381, 129.1305735]","[35.17183381, 129.1305735]"
291,35.17693653,129.1244304,"[35.17693653, 129.1244304]","[35.17693653, 129.1244304]"
292,35.1768012,129.1242203,"[35.1768012, 129.1242203]","[35.1768012, 129.1242203]"
293,35.17635399,129.1245504,"[35.17635399, 129.1245504]","[35.17635399, 129.1245504]"
294,35.1765089,129.1247179,"[35.1765089, 129.1247179]","[35.1765089, 129.1247179]"
295,35.17679748,129.1247328,"[35.17679748, 129.1247328]","[35.17679748, 129.1247328]"
296,35.17479922,129.1313303,"[35.17479922, 129.1313303]","[35.17479922, 129.1313303]"
297,35.19763259,129.1227806,"[35.19763259, 129.1227806]","[35.19763259, 129.1227806]"
298,35.19769111,129.1227053,"[35.19769111, 129.1227053]","[35.19769111, 129.1227053]"
299,35.19768021,129.1226067,"[35.19768021, 129.1226067]","[35.19768021, 129.1226067]"
300,35.19750849,129.1227491,"[35.19750849, 129.1227491]","[35.19750849, 129.1227491]"
301,35.19755989,129.1228415,"[35.19755989, 129.1228415]","[35.19755989, 129.1228415]"
302,35.19756901,129.1229695,"[35.19756901, 129.1229695]","[35.19756901, 129.1229695]"
303,35.19776896,129.1227937,"[35.19776896, 129.1227937]","[35.19776896, 129.1227937]"
304,35.16947749,129.1321483,"[35.16947749, 129.1321483]","[35.16947749, 129.1321483]"
305,35.16904264,129.1325489,"[35.16904264, 129.1325489]","[35.16904264, 129.1325489]"
